c057fdbb	2022/04	青いベンチ	サスケ
bca6ec0a	2022/05	ひまわりの約束	秦基博
5396e324	2022/06	フレンズ	レベッカ
810c8c51	2022/07	ハイヒールを脱ぎ捨てて	ZARD
8525a684	2022/08	陽のあたる坂道	Do As Infinity
72b0a6a2	2022/09	うしろゆびさされ組	うしろゆびさされ組
dd9e1f20	2022/10	Happy Halloween	Junky
2effa7dc	2022/11	AIAIAI	キズナアイ
e8db1f7b	2022/12	クリスマス	JUDY AND MARY
e2ae9c56	2023/01	友達でいいから	高橋由美子
7facf82e	2023/02	愛は勝つ	KAN
e0c61c74	2023/03	可愛くてごめん	HoneyWorks
b21186da	2023/04	私が恋を知る日	HoneyWorks
14601002	2023/05	青春コンプレックス	結束バンド
f613c0d5	2023/06	あなたに会えてよかった	小泉今日子
630afe3c	2023/07	恋愛サーキュレーション	花澤香菜
5844d699	2023/08	君たちキウイ・パパイヤ・マンゴーだね。	中原めいこ
9eb89943	2023/09	secret base ～君がくれたもの～	ZONE
	2023/10	staple stable	戦場ヶ原ひたぎ
95c09aa5	2023/11	ファッションモンスター	きゃりーぱみゅぱみゅ
c1597444	2023/12	世界が終わるまでは	WANDS
0d8d715f	2024/01	世界中の誰よりきっと	中山美紀
1f4df8d7	2024/02	恋愛サーキュレーション	花澤香菜
558d400f	2024/03	Answer	SILENT SIREN
76e95e1f	2024/04	私がオバさんになっても	森高千里
e05128ee	2024/05	シャルル	須田景凪
3a4723cd	2024/06	最悪な日でもあなたが好き。	芹澤優
640c3f70	2024/07	もう少し あと少し	ZARD
82316990	2024/08	ブルーウォーター	森川美穂
65012111	2024/09	なぜ...	Hysteric Blue
183147bd	2024/10	まちぶせ	石川ひとみ
7ae10e48	2024/11	雨に濡れて	ZARD
ceb78e9e	2024/12	P.S.I LOVE YOU	PINK SAAPPHIRE
745f2ff4	2025/01	SWEET MEMORIES	松田聖子
b37e0306	2025/02	Squall	松本英子
ebf5f23f	2025/03	チョコレイト・ディスコ	Perfume
662ff084	2025/04	すみれ September Love	SHAZNA
b12764f9	2025/05	ライオン	中島愛
974db37b	2025/06	雨	森高千里
306d7eae	2025/07	スキマジカン	アネモネ
920db4de	2025/08	ハレ晴レユカイ	ＳＯＳ団
96ea2b87	2025/09	ハム太郎とっとこうた	ハムちゃんず
df9c14b9	2025/09	雨にキッスの花束を	今井美樹
059c5a7f	2025/10	王子様と雪の夜	タンポポ
7908c3c9	2025/10	slash	Yama
ab60eda7	2025/11	赤い日記帳	あか組4
e80c942e	2025/11	乙女 パスタに感動	タンポポ